Sitemap URL,Link URL,Issue Type,Line in Sitemap,Discovered
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/categories/code-generation,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/categories/data-analysis,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/categories/seo-optimization,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/categories/video-generation,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/blog,Non-canonical URL,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/categories/content-creation,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/categories/social-media,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/categories/best-voice-ai-tools,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/categories/productivity,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/categories/paid-search-ppc,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/analysis/claude3-vs-gpt4,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/categories/research-education,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/categories/email-marketing,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-main.xml,https://siteoptz.ai/categories/image-generation,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-tools.xml,https://siteoptz.ai/tools/marketing-roi-calculator,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-tools.xml,https://siteoptz.ai/tools/sales-ai-roi,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-tools.xml,https://siteoptz.ai/tools/conversion-roi-calculator,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-tools.xml,https://siteoptz.ai/tools/recruitment-roi-calculator,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-tools.xml,https://siteoptz.ai/tools/ai-roi-calculator,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-tools.xml,https://siteoptz.ai/tools/ai-cost-calculator,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-tools.xml,https://siteoptz.ai/tools/enterprise-ai-calculator,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-tools.xml,https://siteoptz.ai/tools/chatbot-roi-calculator,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-tools.xml,https://siteoptz.ai/tools/content-roi-calculator,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-tools.xml,https://siteoptz.ai/tools/healthcare-ai-roi,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-tools.xml,https://siteoptz.ai/tools/manufacturing-roi-calculator,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-tools.xml,https://siteoptz.ai/tools/no-code-ai-roi,Redirect,—,12 Sep 2025 (04:47 UTC)
https://siteoptz.ai/sitemap-tools.xml,https://siteoptz.ai/tools/security-roi-calculator,Redirect,—,12 Sep 2025 (04:47 UTC)
